,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBMAS,POBFEM,REL_H_M,P_18YMAS,P_60YMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,P_18A24,PEA,PE_INAC,POCUPADA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP,GRAPROES,CVE_ENT,Entidad federativa,CVE_MUN,Nombre del municipio,CVE_LOC,Nombre de la localidad,Folio de la AGEB,Población total ,Viviendas particulares habitadas,Población de 15 años y más con educación básica incompleta,Población de 15 a 24 años que no asiste a la escuela,Población sin derechohabiencia a servicios de salud,Personas que viven en hacinamiento,Viviendas que no disponen de excusado o sanitario,Viviendas que no disponen de lavadora,Viviendas que no disponen de refrigerador,Viviendas que no disponen de teléfono fijo,Población de 15 años o más analfabeta,Población de 6 a 14 años que no asiste a la escuela,Viviendas con piso de tierra,Viviendas que no disponen de agua entubada de la red pública,Viviendas que no disponen de drenaje,Viviendas que no disponen de energía eléctrica,Grado de rezago social (clases latentes) 
2158,9,Distrito Federal,5,Gustavo A. Madero,1,Total AGEB urbana,224A,0,3859,1811,2048,88,2919,581,99,138,311,165,188,410,1753,1512,1627,126,1302,2515,916,903,4,11,9,Distrito Federal,10.0,Álvaro Obregón,1.0,ÁLVARO OBREGÓN,090100001224A,3113.0,778.0,26.4,48.7,30.8,5.1,0.4,20.2,8.0,29.9,2.2,3.1,0.8,0.0,0.0,0.0,Bajo
2159,9,Distrito Federal,5,Gustavo A. Madero,1,Total AGEB urbana,224A,0,3859,1811,2048,88,2919,581,99,138,311,165,188,410,1753,1512,1627,126,1302,2515,916,903,4,11,15,México,33.0,Ecatepec de Morelos,1.0,ECATEPEC DE MORELOS,150330001224A,5226.0,1335.0,42.6,61.9,49.7,11.9,0.4,34.3,20.2,48.7,4.6,5.0,1.6,5.9,0.1,0.1,Bajo
2160,9,Distrito Federal,10,Álvaro Obregón,1,Total AGEB urbana,224A,0,3113,1485,1628,91,2165,231,151,169,314,137,153,401,1443,1007,1383,60,960,2119,786,778,4,10,9,Distrito Federal,5.0,Gustavo A. Madero,1.0,GUSTAVO A. MADERO,090050001224A,3859.0,903.0,22.4,38.3,33.7,1.9,1.2,16.8,5.2,17.4,2.1,1.5,0.2,0.1,0.2,0.0,Bajo
2161,9,Distrito Federal,10,Álvaro Obregón,1,Total AGEB urbana,224A,0,3113,1485,1628,91,2165,231,151,169,314,137,153,401,1443,1007,1383,60,960,2119,786,778,4,10,9,Distrito Federal,10.0,Álvaro Obregón,1.0,ÁLVARO OBREGÓN,090100001224A,3113.0,778.0,26.4,48.7,30.8,5.1,0.4,20.2,8.0,29.9,2.2,3.1,0.8,0.0,0.0,0.0,Bajo
2162,9,Distrito Federal,10,Álvaro Obregón,1,Total AGEB urbana,224A,0,3113,1485,1628,91,2165,231,151,169,314,137,153,401,1443,1007,1383,60,960,2119,786,778,4,10,15,México,33.0,Ecatepec de Morelos,1.0,ECATEPEC DE MORELOS,150330001224A,5226.0,1335.0,42.6,61.9,49.7,11.9,0.4,34.3,20.2,48.7,4.6,5.0,1.6,5.9,0.1,0.1,Bajo
2163,15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,224A,0,5226,2537,2689,94,3390,310,328,316,610,296,279,713,2091,1866,1976,115,2595,2614,1337,1335,4,8,9,Distrito Federal,5.0,Gustavo A. Madero,1.0,GUSTAVO A. MADERO,090050001224A,3859.0,903.0,22.4,38.3,33.7,1.9,1.2,16.8,5.2,17.4,2.1,1.5,0.2,0.1,0.2,0.0,Bajo
2164,15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,224A,0,5226,2537,2689,94,3390,310,328,316,610,296,279,713,2091,1866,1976,115,2595,2614,1337,1335,4,8,9,Distrito Federal,10.0,Álvaro Obregón,1.0,ÁLVARO OBREGÓN,090100001224A,3113.0,778.0,26.4,48.7,30.8,5.1,0.4,20.2,8.0,29.9,2.2,3.1,0.8,0.0,0.0,0.0,Bajo
2165,15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,224A,0,5226,2537,2689,94,3390,310,328,316,610,296,279,713,2091,1866,1976,115,2595,2614,1337,1335,4,8,15,México,33.0,Ecatepec de Morelos,1.0,ECATEPEC DE MORELOS,150330001224A,5226.0,1335.0,42.6,61.9,49.7,11.9,0.4,34.3,20.2,48.7,4.6,5.0,1.6,5.9,0.1,0.1,Bajo
2166,9,Distrito Federal,5,Gustavo A. Madero,1,Total AGEB urbana,2254,0,3284,1538,1746,88,2540,561,103,104,244,124,151,374,1470,1341,1382,88,1156,2090,879,874,4,11,9,Distrito Federal,5.0,Gustavo A. Madero,1.0,GUSTAVO A. MADERO,0900500012254,3284.0,874.0,21.0,38.5,35.2,1.3,0.3,13.6,4.1,16.5,1.6,2.2,0.8,0.0,0.0,0.0,Bajo
2167,9,Distrito Federal,5,Gustavo A. Madero,1,Total AGEB urbana,2254,0,3284,1538,1746,88,2540,561,103,104,244,124,151,374,1470,1341,1382,88,1156,2090,879,874,4,11,9,Distrito Federal,10.0,Álvaro Obregón,1.0,ÁLVARO OBREGÓN,0901000012254,4367.0,1153.0,15.0,46.0,25.0,1.0,2.7,14.1,6.2,22.8,0.6,2.7,0.7,0.8,0.3,0.0,Bajo
