NOM_ENT,NOM_MUN,AGEB,POBTOT,PEA,Porcentaje_x,PE_INAC,Porcentaje_y,POCUPADA,Porcentaje_x,PDESOCUP,Porcentaje_y
Distrito Federal,Cuajimalpa de Morelos,320,2792,1180,42.26361032,846,30.3008596,1131,40.50859599,49,1.755014327
Distrito Federal,Cuajimalpa de Morelos,034A,3172,1472,46.40605296,1023,32.25094578,1393,43.91551072,79,2.490542245
Distrito Federal,Cuajimalpa de Morelos,354,7010,3321,47.37517832,2328,33.20970043,3199,45.63480742,122,1.740370899
Distrito Federal,Cuajimalpa de Morelos,369,5681,2986,52.56116881,1246,21.93275832,2949,51.90987502,37,0.651293786
Distrito Federal,Cuajimalpa de Morelos,373,8672,3284,37.86900369,2430,28.02121771,3189,36.77352399,95,1.095479705
Distrito Federal,Cuajimalpa de Morelos,392,554,258,46.57039711,160,28.88086643,251,45.30685921,7,1.263537906
Distrito Federal,Cuajimalpa de Morelos,405,4411,1749,39.65087282,1415,32.07889367,1691,38.33597824,58,1.314894582
Distrito Federal,Cuajimalpa de Morelos,041A,2183,1036,47.45762712,665,30.46266606,1000,45.80852038,36,1.649106734
Distrito Federal,Cuajimalpa de Morelos,246,9076,4081,44.96474218,2962,32.63552226,3933,43.33406787,148,1.630674306
Distrito Federal,Cuajimalpa de Morelos,316,12818,5481,42.760181,4265,33.27352161,5322,41.51973787,159,1.240443127
Distrito Federal,Cuajimalpa de Morelos,388,1143,499,43.65704287,387,33.85826772,470,41.11986002,29,2.537182852
Distrito Federal,Gustavo A. Madero,12,4312,1748,40.5380334,1525,35.36641929,1658,38.45083488,90,2.087198516
Distrito Federal,Gustavo A. Madero,27,5407,2317,42.8518587,1863,34.45533568,2212,40.90993157,105,1.941927131
Distrito Federal,Gustavo A. Madero,50,10216,4204,41.15113547,3830,37.49021143,3963,38.79209084,241,2.359044636
Distrito Federal,Gustavo A. Madero,84,3358,1353,40.29184038,1236,36.80762359,1265,37.67123288,88,2.620607504
Distrito Federal,Gustavo A. Madero,99,4627,1951,42.16555003,1641,35.46574454,1859,40.17722066,92,1.988329371
Distrito Federal,Gustavo A. Madero,101,5161,2093,40.55415617,1824,35.34198799,1991,38.577795,102,1.97636117
Distrito Federal,Gustavo A. Madero,135,4752,1924,40.48821549,1799,37.85774411,1835,38.61531987,89,1.872895623
Distrito Federal,Gustavo A. Madero,014A,4730,1920,40.59196617,1723,36.42706131,1813,38.32980973,107,2.262156448
Distrito Federal,Gustavo A. Madero,169,7794,3286,42.16063639,2759,35.39902489,3116,39.97947139,170,2.181164999
Distrito Federal,Gustavo A. Madero,173,4629,2038,44.02678764,1650,35.6448477,1937,41.84489091,101,2.181896738
Distrito Federal,Gustavo A. Madero,188,4675,1997,42.71657754,1800,38.5026738,1898,40.59893048,99,2.117647059
Distrito Federal,Gustavo A. Madero,192,5587,2316,41.4533739,2199,39.35922678,2201,39.39502416,115,2.05834974
Distrito Federal,Gustavo A. Madero,205,6504,2614,40.19065191,2458,37.79212792,2481,38.14575646,133,2.044895449
Distrito Federal,Gustavo A. Madero,224,3090,1300,42.07119741,1197,38.73786408,1194,38.6407767,106,3.430420712
Distrito Federal,Gustavo A. Madero,243,7579,3051,40.25597044,2849,37.59071118,2896,38.21084576,155,2.045124687
Distrito Federal,Gustavo A. Madero,258,5381,2208,41.03326519,1984,36.87047017,2106,39.13770675,102,1.895558446
Distrito Federal,Gustavo A. Madero,262,4360,1758,40.32110092,1627,37.31651376,1665,38.18807339,93,2.133027523
Distrito Federal,Gustavo A. Madero,277,3229,1547,47.90956953,1209,37.44193249,1472,45.586869,75,2.322700526
Distrito Federal,Gustavo A. Madero,281,2726,1276,46.80851064,1029,37.74761555,1183,43.39691856,93,3.411592076
Distrito Federal,Gustavo A. Madero,296,2801,1294,46.1977865,1053,37.59371653,1238,44.19850054,56,1.999285969
Distrito Federal,Gustavo A. Madero,309,2255,1048,46.47450111,821,36.40798226,971,43.05986696,77,3.414634146
Distrito Federal,Gustavo A. Madero,313,3901,1734,44.45014099,1287,32.99154063,1631,41.80979236,103,2.640348629
Distrito Federal,Gustavo A. Madero,328,1721,777,45.14816967,596,34.63102847,743,43.17257408,34,1.975595584
Distrito Federal,Gustavo A. Madero,332,6347,2699,42.5240271,2269,35.74917284,2517,39.65653064,182,2.867496455
Distrito Federal,Gustavo A. Madero,351,5142,2114,41.11240762,1777,34.55853753,1994,38.77868534,120,2.333722287
Distrito Federal,Gustavo A. Madero,366,10011,5044,50.38457697,2847,28.43871741,4861,48.55658775,183,1.827989212
Distrito Federal,Gustavo A. Madero,370,3074,1257,40.89134678,1233,40.11060507,1198,38.97202342,59,1.919323357
Distrito Federal,Gustavo A. Madero,385,6268,2679,42.74090619,2310,36.85386088,2581,41.17740906,98,1.563497128
Distrito Federal,Gustavo A. Madero,039A,5660,2664,47.06713781,2254,39.82332155,2509,44.32862191,155,2.738515901
Distrito Federal,Gustavo A. Madero,402,5642,2361,41.84686281,2061,36.52959943,2253,39.932648,108,1.914214817
Distrito Federal,Gustavo A. Madero,417,4853,2099,43.25159695,1729,35.62744694,2028,41.78858438,71,1.46301257
Distrito Federal,Gustavo A. Madero,421,3836,1719,44.81230448,1439,37.51303441,1634,42.59645464,85,2.215849844
Distrito Federal,Gustavo A. Madero,436,4353,1900,43.64805881,1703,39.12244429,1804,41.44268321,96,2.205375603
Distrito Federal,Gustavo A. Madero,440,4552,1938,42.57469244,1649,36.2258348,1851,40.66344464,87,1.911247803
Distrito Federal,Gustavo A. Madero,455,4112,1880,45.71984436,1471,35.7733463,1769,43.02042802,111,2.699416342
Distrito Federal,Gustavo A. Madero,474,5381,2335,43.3934213,2030,37.72532986,2231,41.46069504,104,1.932726259
Distrito Federal,Gustavo A. Madero,489,3582,1776,49.58123953,1246,34.78503629,1722,48.07370184,54,1.507537688
Distrito Federal,Gustavo A. Madero,493,2873,1363,47.44169857,1137,39.57535677,1301,45.2836756,62,2.158022973
Distrito Federal,Gustavo A. Madero,506,2357,983,41.70555791,906,38.43869325,922,39.11752227,61,2.588035639
Distrito Federal,Gustavo A. Madero,510,860,401,46.62790698,345,40.11627907,385,44.76744186,16,1.860465116
Distrito Federal,Gustavo A. Madero,525,1209,638,52.77088503,430,35.56658395,622,51.44747725,16,1.323407775
Distrito Federal,Gustavo A. Madero,559,2910,1357,46.63230241,1090,37.45704467,1295,44.50171821,62,2.130584192
Distrito Federal,Gustavo A. Madero,563,3660,1527,41.72131148,1417,38.71584699,1407,38.44262295,120,3.278688525
Distrito Federal,Gustavo A. Madero,582,3010,1358,45.11627907,1173,38.97009967,1231,40.89700997,127,4.219269103
Distrito Federal,Gustavo A. Madero,597,4622,2075,44.89398529,1721,37.23496322,1878,40.63176114,197,4.262224145
Distrito Federal,Gustavo A. Madero,060A,1676,773,46.12171838,693,41.34844869,716,42.72076372,57,3.400954654
Distrito Federal,Gustavo A. Madero,614,789,360,45.62737643,361,45.75411914,318,40.30418251,42,5.323193916
Distrito Federal,Gustavo A. Madero,629,841,366,43.5196195,359,42.68727705,338,40.1902497,28,3.329369798
Distrito Federal,Gustavo A. Madero,633,2630,1246,47.37642586,1022,38.85931559,1164,44.25855513,82,3.117870722
Distrito Federal,Gustavo A. Madero,667,5898,2516,42.65852831,2150,36.45303493,2384,40.42048152,132,2.238046796
Distrito Federal,Gustavo A. Madero,671,5526,2293,41.49475208,2071,37.47737966,2163,39.1422367,130,2.352515382
Distrito Federal,Gustavo A. Madero,703,7928,3396,42.83551968,2910,36.70534813,3162,39.8839556,234,2.951564077
Distrito Federal,Gustavo A. Madero,722,3399,1592,46.83730509,1381,40.62959694,1550,45.60164754,42,1.235657546
Distrito Federal,Gustavo A. Madero,737,3170,1508,47.57097792,1219,38.45425868,1452,45.8044164,56,1.766561514
Distrito Federal,Gustavo A. Madero,741,2430,1179,48.51851852,932,38.35390947,1123,46.21399177,56,2.304526749
Distrito Federal,Gustavo A. Madero,756,33,22,66.66666667,9,27.27272727,19,57.57575758,3,9.090909091
Distrito Federal,Gustavo A. Madero,760,2429,1099,45.24495677,870,35.81720873,987,40.63400576,112,4.610951009
Distrito Federal,Gustavo A. Madero,775,1967,944,47.99186579,665,33.80782918,900,45.75495679,44,2.236908998
Distrito Federal,Gustavo A. Madero,078A,2063,958,46.43722734,768,37.22733883,891,43.18952981,67,3.247697528
Distrito Federal,Gustavo A. Madero,794,2533,1142,45.08487959,947,37.38649822,1108,43.74259771,34,1.342281879
Distrito Federal,Gustavo A. Madero,807,1182,508,42.97800338,389,32.91032149,491,41.53976311,17,1.438240271
Distrito Federal,Gustavo A. Madero,811,5441,2360,43.37437971,1890,34.73626172,2259,41.51810329,101,1.85627642
Distrito Federal,Gustavo A. Madero,826,4211,1869,44.38375683,1502,35.6684873,1712,40.65542626,157,3.728330563
Distrito Federal,Gustavo A. Madero,830,4677,2082,44.5157152,1798,38.44344665,2007,42.91212316,75,1.603592046
Distrito Federal,Gustavo A. Madero,845,8230,3667,44.55650061,2837,34.47144593,3514,42.69744836,153,1.859052248
Distrito Federal,Gustavo A. Madero,085A,5397,2343,43.41300723,1972,36.53881786,2199,40.74485825,144,2.668148972
